tema,indicador,periodo,categoria,valor,unidade,territorio,nivel_geografico,status_publicacao,fonte_aba,referencia,fonte_url,data_extracao,observacao
mudas,entregas_registradas,2026-01,Total,9,entregas,Campo Grande (MS),municipio,apto_com_ressalva,Janeiro26,A4:Q40,https://docs.google.com/spreadsheets/d/1u-nbp0DMjL0y5a2A-klO4wXbzHVN5Mrylr_OM6z8Iy0/edit#gid=1934321417,2026-09-17,Somado dos lançamentos da aba mensal; entregas não equivalem a beneficiários únicos. O painel-resumo diverge.
mudas,bandejas_entregues,2026-01,Total,57,bandejas,Campo Grande (MS),municipio,apto_com_ressalva,Janeiro26,A4:Q40,https://docs.google.com/spreadsheets/d/1u-nbp0DMjL0y5a2A-klO4wXbzHVN5Mrylr_OM6z8Iy0/edit#gid=1934321417,2026-09-17,Somado dos lançamentos da aba mensal; entregas não equivalem a beneficiários únicos. O painel-resumo diverge.
mudas,mudas_entregues,2026-01,Total,12000,mudas,Campo Grande (MS),municipio,apto_com_ressalva,Janeiro26,A4:Q40,https://docs.google.com/spreadsheets/d/1u-nbp0DMjL0y5a2A-klO4wXbzHVN5Mrylr_OM6z8Iy0/edit#gid=1934321417,2026-09-17,Somado dos lançamentos da aba mensal; entregas não equivalem a beneficiários únicos. O painel-resumo diverge.
mudas,bandejas_por_cultura,2026-01,Alface Americana,6,bandejas,Campo Grande (MS),municipio,apto_com_ressalva,Janeiro26,H4:Q40,https://docs.google.com/spreadsheets/d/1u-nbp0DMjL0y5a2A-klO4wXbzHVN5Mrylr_OM6z8Iy0/edit#gid=1934321417,2026-09-17,Soma dos registros individuais; fecha com o total de bandejas da aba.
mudas,bandejas_por_cultura,2026-01,Alface Crespa,13,bandejas,Campo Grande (MS),municipio,apto_com_ressalva,Janeiro26,H4:Q40,https://docs.google.com/spreadsheets/d/1u-nbp0DMjL0y5a2A-klO4wXbzHVN5Mrylr_OM6z8Iy0/edit#gid=1934321417,2026-09-17,Soma dos registros individuais; fecha com o total de bandejas da aba.
mudas,bandejas_por_cultura,2026-01,Almeirão,4,bandejas,Campo Grande (MS),municipio,apto_com_ressalva,Janeiro26,H4:Q40,https://docs.google.com/spreadsheets/d/1u-nbp0DMjL0y5a2A-klO4wXbzHVN5Mrylr_OM6z8Iy0/edit#gid=1934321417,2026-09-17,Soma dos registros individuais; fecha com o total de bandejas da aba.
mudas,bandejas_por_cultura,2026-01,Cebolinha,8,bandejas,Campo Grande (MS),municipio,apto_com_ressalva,Janeiro26,H4:Q40,https://docs.google.com/spreadsheets/d/1u-nbp0DMjL0y5a2A-klO4wXbzHVN5Mrylr_OM6z8Iy0/edit#gid=1934321417,2026-09-17,Soma dos registros individuais; fecha com o total de bandejas da aba.
mudas,bandejas_por_cultura,2026-01,Coentro,9,bandejas,Campo Grande (MS),municipio,apto_com_ressalva,Janeiro26,H4:Q40,https://docs.google.com/spreadsheets/d/1u-nbp0DMjL0y5a2A-klO4wXbzHVN5Mrylr_OM6z8Iy0/edit#gid=1934321417,2026-09-17,Soma dos registros individuais; fecha com o total de bandejas da aba.
mudas,bandejas_por_cultura,2026-01,Couve,5,bandejas,Campo Grande (MS),municipio,apto_com_ressalva,Janeiro26,H4:Q40,https://docs.google.com/spreadsheets/d/1u-nbp0DMjL0y5a2A-klO4wXbzHVN5Mrylr_OM6z8Iy0/edit#gid=1934321417,2026-09-17,Soma dos registros individuais; fecha com o total de bandejas da aba.
mudas,bandejas_por_cultura,2026-01,Rúcula,4,bandejas,Campo Grande (MS),municipio,apto_com_ressalva,Janeiro26,H4:Q40,https://docs.google.com/spreadsheets/d/1u-nbp0DMjL0y5a2A-klO4wXbzHVN5Mrylr_OM6z8Iy0/edit#gid=1934321417,2026-09-17,Soma dos registros individuais; fecha com o total de bandejas da aba.
