tema,indicador,periodo,categoria,codigo_categoria,valor,unidade,territorio,codigo_territorio,nivel_geografico,situacao_periodo,fonte,fonte_url,data_extracao,observacao
pecuaria,efetivo_rebanho,2019,Bovinos,2670,501175,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2020,Bovinos,2670,488430,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2021,Bovinos,2670,448435,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2022,Bovinos,2670,415630,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2023,Bovinos,2670,428639,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2024,Bovinos,2670,427468,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2019,Suínos,32794,45373,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2020,Suínos,32794,53540,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2021,Suínos,32794,63713,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2022,Suínos,32794,58490,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2023,Suínos,32794,48445,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2024,Suínos,32794,62979,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2019,Caprinos,2681,765,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
