ano;mes;fluxo;municipio_ibge;municipio_codigo_mdic;municipio;uf;kg_liquido;valor_fob_usd;linhas_origem;data_extracao;fonte_url
2025;01;exportacao;5002704;5202704;Campo Grande;MS;21157405;48163239;100;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2025_MUN.csv
2025;01;importacao;5002704;5202704;Campo Grande;MS;12295459;18443842;247;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2025_MUN.csv
2025;02;exportacao;5002704;5202704;Campo Grande;MS;20421472;50087979;121;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2025_MUN.csv
2025;02;importacao;5002704;5202704;Campo Grande;MS;12302073;21290382;234;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2025_MUN.csv
2025;03;exportacao;5002704;5202704;Campo Grande;MS;18008073;53918868;129;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2025_MUN.csv
2025;03;importacao;5002704;5202704;Campo Grande;MS;8548883;12910461;249;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2025_MUN.csv
2025;04;exportacao;5002704;5202704;Campo Grande;MS;22714024;62753008;136;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2025_MUN.csv
2025;04;importacao;5002704;5202704;Campo Grande;MS;21448810;16375957;185;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2025_MUN.csv
2025;05;exportacao;5002704;5202704;Campo Grande;MS;18200606;53002486;122;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2025_MUN.csv
2025;05;importacao;5002704;5202704;Campo Grande;MS;20365264;18657783;234;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2025_MUN.csv
2025;06;exportacao;5002704;5202704;Campo Grande;MS;20465314;61847680;110;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2025_MUN.csv
2025;06;importacao;5002704;5202704;Campo Grande;MS;25844437;23865718;198;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2025_MUN.csv
2025;07;exportacao;5002704;5202704;Campo Grande;MS;31286417;66222750;115;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2025_MUN.csv
2025;07;importacao;5002704;5202704;Campo Grande;MS;16659562;18017114;218;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2025_MUN.csv
2025;08;exportacao;5002704;5202704;Campo Grande;MS;55726260;69347066;118;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2025_MUN.csv
2025;08;importacao;5002704;5202704;Campo Grande;MS;18860778;18196047;238;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2025_MUN.csv
2025;09;exportacao;5002704;5202704;Campo Grande;MS;33672575;67545329;128;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2025_MUN.csv
2025;09;importacao;5002704;5202704;Campo Grande;MS;22294416;26561288;230;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2025_MUN.csv
2025;10;exportacao;5002704;5202704;Campo Grande;MS;30539625;67056318;125;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2025_MUN.csv
2025;10;importacao;5002704;5202704;Campo Grande;MS;60746597;46991858;252;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2025_MUN.csv
2025;11;exportacao;5002704;5202704;Campo Grande;MS;22754490;76460414;105;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2025_MUN.csv
2025;11;importacao;5002704;5202704;Campo Grande;MS;73577340;49919772;219;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2025_MUN.csv
2025;12;exportacao;5002704;5202704;Campo Grande;MS;23950360;81716650;126;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2025_MUN.csv
2025;12;importacao;5002704;5202704;Campo Grande;MS;61564531;40689552;230;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2025_MUN.csv
2026;01;exportacao;5002704;5202704;Campo Grande;MS;21436676;59478005;130;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2026_MUN.csv
2026;01;importacao;5002704;5202704;Campo Grande;MS;47353583;29288237;214;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2026_MUN.csv
2026;02;exportacao;5002704;5202704;Campo Grande;MS;22378915;69304973;108;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2026_MUN.csv
2026;02;importacao;5002704;5202704;Campo Grande;MS;64195429;32500703;214;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2026_MUN.csv
2026;03;exportacao;5002704;5202704;Campo Grande;MS;20622252;62497945;137;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2026_MUN.csv
2026;03;importacao;5002704;5202704;Campo Grande;MS;88203202;39276036;237;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2026_MUN.csv
2026;04;exportacao;5002704;5202704;Campo Grande;MS;49550958;86037769;134;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2026_MUN.csv
2026;04;importacao;5002704;5202704;Campo Grande;MS;75971617;33876751;225;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2026_MUN.csv
2026;05;exportacao;5002704;5202704;Campo Grande;MS;61760985;93173600;146;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2026_MUN.csv
2026;05;importacao;5002704;5202704;Campo Grande;MS;76700781;37938298;239;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2026_MUN.csv
2026;06;exportacao;5002704;5202704;Campo Grande;MS;47609054;93231456;144;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2026_MUN.csv
2026;06;importacao;5002704;5202704;Campo Grande;MS;68569387;37370550;209;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2026_MUN.csv
2026;07;exportacao;5002704;5202704;Campo Grande;MS;35266091;97719952;119;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2026_MUN.csv
2026;07;importacao;5002704;5202704;Campo Grande;MS;73775202;38558815;229;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2026_MUN.csv
2026;08;exportacao;5002704;5202704;Campo Grande;MS;62855887;69828317;114;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2026_MUN.csv
2026;08;importacao;5002704;5202704;Campo Grande;MS;71024910;42203559;234;2026-09-18;https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2026_MUN.csv
