ano;municipio_ibge;municipio;uf;produto_codigo_sidra;produto;area_plantada_ha;marcador_area_plantada_ibge;area_colhida_ha;marcador_area_colhida_ibge;quantidade_produzida;unidade_quantidade;marcador_quantidade_ibge;rendimento_medio;unidade_rendimento;marcador_rendimento_ibge;valor_producao_mil_reais;marcador_valor_ibge;data_extracao;fonte_url
2015;5002704;Campo Grande;MS;40092;Abacaxi*;15;;15;;330;Toneladas;;22000;Quilogramas por Hectare;;386;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40136;Banana (cacho);30;;30;;480;Toneladas;;16000;Quilogramas por Hectare;;255;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40106;Cana-de-açúcar;3964;;3964;;211495;Toneladas;;53354;Quilogramas por Hectare;;13747;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40145;Coco-da-baía*;3;;3;;27;Toneladas;;9000;Quilogramas por Hectare;;32;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40112;Feijão (em grão);630;;630;;1210;Toneladas;;1921;Quilogramas por Hectare;;1609;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40151;Laranja;20;;20;;240;Toneladas;;12000;Quilogramas por Hectare;;124;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40152;Limão;7;;7;;70;Toneladas;;10000;Quilogramas por Hectare;;55;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40261;Mamão;28;;28;;448;Toneladas;;16000;Quilogramas por Hectare;;352;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40119;Mandioca;190;;190;;2850;Toneladas;;15000;Quilogramas por Hectare;;1625;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40120;Melancia;3;;3;;45;Toneladas;;15000;Quilogramas por Hectare;;34;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40122;Milho (em grão);25000;;25000;;120000;Toneladas;;4800;Quilogramas por Hectare;;36000;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40124;Soja (em grão);33360;;33360;;99864;Toneladas;;2994;Quilogramas por Hectare;;86577;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40125;Sorgo (em grão);450;;450;;1350;Toneladas;;3000;Quilogramas por Hectare;;351;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40271;Tangerina;5;;5;;50;Toneladas;;10000;Quilogramas por Hectare;;26;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40126;Tomate;9;;9;;360;Toneladas;;40000;Quilogramas por Hectare;;1080;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40127;Trigo (em grão);570;;570;;1026;Toneladas;;1800;Quilogramas por Hectare;;662;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2015;5002704;Campo Grande;MS;40274;Uva;3;;3;;40;Toneladas;;13333;Quilogramas por Hectare;;300;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2016;5002704;Campo Grande;MS;40092;Abacaxi*;15;;15;;330;Toneladas;;22000;Quilogramas por Hectare;;562;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2016;5002704;Campo Grande;MS;40099;Algodão herbáceo (em caroço);240;;240;;480;Toneladas;;2000;Quilogramas por Hectare;;773;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2016;5002704;Campo Grande;MS;40136;Banana (cacho);30;;30;;480;Toneladas;;16000;Quilogramas por Hectare;;532;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2016;5002704;Campo Grande;MS;40104;Batata-doce;10;;10;;150;Toneladas;;15000;Quilogramas por Hectare;;150;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2016;5002704;Campo Grande;MS;40106;Cana-de-açúcar;3617;;3617;;207380;Toneladas;;57335;Quilogramas por Hectare;;15139;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2016;5002704;Campo Grande;MS;40145;Coco-da-baía*;3;;3;;27;Toneladas;;9000;Quilogramas por Hectare;;34;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2016;5002704;Campo Grande;MS;40112;Feijão (em grão);130;;43;;18;Toneladas;;419;Quilogramas por Hectare;;104;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2016;5002704;Campo Grande;MS;40114;Girassol (em grão);397;;397;;476;Toneladas;;1199;Quilogramas por Hectare;;619;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2016;5002704;Campo Grande;MS;40151;Laranja;20;;20;;240;Toneladas;;12000;Quilogramas por Hectare;;214;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2016;5002704;Campo Grande;MS;40152;Limão;10;;10;;150;Toneladas;;15000;Quilogramas por Hectare;;120;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2016;5002704;Campo Grande;MS;40261;Mamão;50;;50;;1400;Toneladas;;28000;Quilogramas por Hectare;;2609;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
2016;5002704;Campo Grande;MS;40119;Mandioca;200;;200;;3000;Toneladas;;15000;Quilogramas por Hectare;;2573;;2026-09-18;https://apisidra.ibge.gov.br/values/t/5457/n6/5002704/v/all/p/2015-2025/c782/all?formato=json
