ano;municipio_ibge;municipio;uf;especie_codigo_sidra;especie;cabecas;marcador_ibge;data_extracao;fonte_url
2015;5002704;Campo Grande;MS;2670;Bovino;555994;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2015;5002704;Campo Grande;MS;2675;Bubalino;118;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2015;5002704;Campo Grande;MS;2681;Caprino;1890;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2015;5002704;Campo Grande;MS;2680;Codornas;1695;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2015;5002704;Campo Grande;MS;2672;Equino;9715;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2015;5002704;Campo Grande;MS;32793;Galináceos - galinhas;44254;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2015;5002704;Campo Grande;MS;32796;Galináceos - total;589720;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2015;5002704;Campo Grande;MS;2677;Ovino;16012;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2015;5002704;Campo Grande;MS;32795;Suíno - matrizes de suínos;5287;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2015;5002704;Campo Grande;MS;32794;Suíno - total;67987;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2016;5002704;Campo Grande;MS;2670;Bovino;551800;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2016;5002704;Campo Grande;MS;2675;Bubalino;92;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2016;5002704;Campo Grande;MS;2681;Caprino;1470;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2016;5002704;Campo Grande;MS;2680;Codornas;1685;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2016;5002704;Campo Grande;MS;2672;Equino;12540;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2016;5002704;Campo Grande;MS;32793;Galináceos - galinhas;41870;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2016;5002704;Campo Grande;MS;32796;Galináceos - total;290967;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2016;5002704;Campo Grande;MS;2677;Ovino;15826;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2016;5002704;Campo Grande;MS;32795;Suíno - matrizes de suínos;4616;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2016;5002704;Campo Grande;MS;32794;Suíno - total;56404;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2017;5002704;Campo Grande;MS;2670;Bovino;548279;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2017;5002704;Campo Grande;MS;2675;Bubalino;132;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2017;5002704;Campo Grande;MS;2681;Caprino;1250;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2017;5002704;Campo Grande;MS;2680;Codornas;1500;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2017;5002704;Campo Grande;MS;2672;Equino;8000;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2017;5002704;Campo Grande;MS;32793;Galináceos - galinhas;38064;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2017;5002704;Campo Grande;MS;32796;Galináceos - total;335604;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2017;5002704;Campo Grande;MS;2677;Ovino;15165;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2017;5002704;Campo Grande;MS;32795;Suíno - matrizes de suínos;4650;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2017;5002704;Campo Grande;MS;32794;Suíno - total;57587;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2018;5002704;Campo Grande;MS;2670;Bovino;530300;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2018;5002704;Campo Grande;MS;2675;Bubalino;70;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2018;5002704;Campo Grande;MS;2681;Caprino;494;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2018;5002704;Campo Grande;MS;2680;Codornas;1460;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2018;5002704;Campo Grande;MS;2672;Equino;10000;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2018;5002704;Campo Grande;MS;32793;Galináceos - galinhas;38281;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2018;5002704;Campo Grande;MS;32796;Galináceos - total;380240;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2018;5002704;Campo Grande;MS;2677;Ovino;14850;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2018;5002704;Campo Grande;MS;32795;Suíno - matrizes de suínos;4850;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2018;5002704;Campo Grande;MS;32794;Suíno - total;58398;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2019;5002704;Campo Grande;MS;2670;Bovino;501175;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2019;5002704;Campo Grande;MS;2675;Bubalino;274;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2019;5002704;Campo Grande;MS;2681;Caprino;765;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2019;5002704;Campo Grande;MS;2680;Codornas;;-;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2019;5002704;Campo Grande;MS;2672;Equino;14129;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2019;5002704;Campo Grande;MS;32793;Galináceos - galinhas;38820;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2019;5002704;Campo Grande;MS;32796;Galináceos - total;387416;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
